year,value,activity_type,visit_unit
2013,11,Visitor attraction,million
2013,6,Leisure activity,million
2018,14,Visitor attraction,million
2019,13,Visitor attraction,million
2013,1,Day out (spa),million
2016,2,Day out (spa),million
2017,14,Visitor attraction,million
2014,5,Sports participation,million
2015,7,Sports participation,million
2015,16,Shopping,million
2013,5,Sports participation,million
2016,9,Leisure activity,million
2015,11,Visitor attraction,million
2014,8,Leisure activity,million
2017,15,Entertainment - cinema,million
2016,12,Day trip - leisure,million
2014,12,Entertainment - cinema,million
2013,11,Entertainment - cinema,million
2014,10,Day trip - leisure,million
2013,9,Day trip - leisure,million
2015,9,Day trip - leisure,million
2018,3,Day out (spa),million
2015,10,Leisure activity,million
2019,5,Day out (spa),million
2015,2,Day out (spa),million
2014,2,Day out (spa),million
2018,13,Entertainment - cinema,million
2017,4,Day out (spa),million
2019,9,Day trip - leisure,million
2015,19,Night out,million
2013,18,Night out,million
2018,10,Day trip - leisure,million
2018,25,Day out,million
2017,25,Day out,million
2018,19,Night out,million
2019,24,Day out,million
2016,19,Day out,million
2019,18,Night out,million
2014,20,Night out,million
2014,19,Day out,million
2013,17,Day out,million
2015,18,Day out,million
2017,10,Attend public event,million
2019,20,Shopping,million
2018,7,Attend public event,million
2018,18,Shopping,million
2016,20,Night out,million
2018,9,Sports participation,million
2016,8,Sports participation,million
2019,7,Sports participation,million
2017,21,Shopping,million
2017,23,Night out,million
2017,9,Day trip - leisure,million
2017,10,Sports participation,million
2019,8,Attend public event,million
2016,18,Shopping,million
2016,142,Other,million
2019,13,Watch live sports,million
2015,124,Other,million
2015,5,Attend personal event,million
2015,8,Attend public event,million
2015,24,Outdoor leisure activity,million
2015,12,Watch live sports,million
2016,5,Attend personal event,million
2014,41,Visit family/friends,million
2014,4,Attend personal event,million
2019,134,Other,million
2018,5,Attend personal event,million
2017,49,Visit family/friends,million
2018,45,Visit family/friends,million
2013,15,Shopping,million
2019,30,Outdoor leisure activity,million
2016,6,Attend public event,million
2013,8,Watch live sports,million
2016,36,Eating out,million
2014,17,Shopping,million
2016,30,Outdoor leisure activity,million
2014,8,Attend public event,million
2017,12,Watch live sports,million
2013,6,Attend public event,million
2016,12,Watch live sports,million
2014,9,Watch live sports,million
2018,11,Watch live sports,million
2013,22,Outdoor leisure activity,million
2016,44,Visit family/friends,million
2019,33,Eating out,million
2019,13,Entertainment - cinema,million
2017,6,Attend personal event,million
2015,46,Visit family/friends,million
2013,41,Visit family/friends,million
2017,39,Eating out,million
2018,9,Leisure activity,million
2014,11,Visitor attraction,million
2016,13,Visitor attraction,million
2016,13,Entertainment - cinema,million
2017,9,Leisure activity,million
2015,12,Entertainment - cinema,million
2019,11,Leisure activity,million
2014,127,Other,million
2013,124,Other,million
2018,25,Outdoor leisure activity,million
2014,22,Outdoor leisure activity,million
2017,151,Other,million
2013,4,Attend personal event,million
2018,138,Other,million
2014,31,Eating out,million
2015,35,Eating out,million
2019,49,Visit family/friends,million
2019,6,Attend personal event,million
2013,29,Eating out,million
2018,38,Eating out,million
2017,35,Outdoor leisure activity,million
