year,value,type_of_location_visited,visit_unit
2013,33,Small town,million
2016,17,Village,million
2015,32,Small town,million
2013,15,Village,million
2014,4,Seaside,million
2016,5,Seaside,million
2018,16,Village,million
2014,12,Village,million
2017,19,Village,million
2017,70,City/large town,million
2019,7,Seaside,million
2019,16,Village,million
2014,35,Small town,million
2018,38,Small town,million
2013,59,City/large town,million
2018,64,City/large town,million
2016,61,City/large town,million
2015,59,City/large town,million
2017,8,Seaside,million
2019,59,City/large town,million
2015,4,Seaside,million
2016,7,Seaside,million
2015,8,Seaside,million
2018,5,Seaside,million
2019,9,Seaside,million
2013,8,Seaside,million
2014,59,City/large town,million
2014,8,Seaside,million
2018,17,Rural countryside,million
2014,19,Rural countryside,million
2013,124,Other,million
2017,21,Rural countryside,million
2016,22,Rural countryside,million
2019,19,Rural countryside,million
2014,2,Seaside,million
2017,9,Seaside,million
2018,8,Seaside,million
2014,127,Other,million
2015,124,Other,million
2013,4,Seaside,million
2016,142,Other,million
2016,2,Seaside,million
2017,2,Seaside,million
2015,11,Village,million
2013,18,Rural countryside,million
2015,17,Rural countryside,million
2016,39,Small town,million
2017,40,Small town,million
2019,37,Small town,million
2019,134,Other,million
2018,2,Seaside,million
2019,1,Seaside,million
2015,2,Seaside,million
2018,138,Other,million
2013,3,Seaside,million
2017,151,Other,million
